label,sublabel,description,styles,bgcolor
燃やせないごみ,,,,#733b96
燃やせるごみ,,,,#ea3b13
空きびん・缶,,,,#2dc7aa
ペットボトル,,,,#13c4e1
古紙・古着,,,,#bbe400
プラスチック類,,,,#77ae1f
有害ごみ,,,,#685ecf
